meta,subject_id,topics_id,question_tags,slug,question_type,question,question_file,question_file_is_url,total_answers,answers,total_correct_answers,correct_answers,marks,time_to_spend,difficulty_level,hint,explanation,explanation_file,status,created_at,updated_at,question_l2,explanation_l2,correct_answers_value
{topic_id:1520|topic:Clock|section:-|page:1|question:1. },1001,1520,Clock,1001UKG6714NX91520,radio,"<div>An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon? 
</div>",,0,4,"[{""option_value"": ""144º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""150º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""168º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""180º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,4,5,60,easy,,"Angle traced by the hour hand in 6 hours = <br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497517774-an-accurate-clock-shows-8-oclock-in-the-morning-through-how-may-degrees-will-the-hour-hand-rotate-when-the-clock-shows-2-oclock-in-the-afternoon-18466.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon? 
</div>","Angle traced by the hour hand in 6 hours = <br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497517774-an-accurate-clock-shows-8-oclock-in-the-morning-through-how-may-degrees-will-the-hour-hand-rotate-when-the-clock-shows-2-oclock-in-the-afternoon-18466.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",180º
{topic_id:1520|topic:Clock|section:-|page:1|question:2. },1001,1520,Clock,1001U5OE9NEQEK1520,radio,"<div>The reflex angle between the hands of a clock at 10.25 is:
</div>",,0,4,"[{""option_value"": ""180º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""192<sup>1º</sup>/<sub>2</sub>"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""195º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""197<sup>1º</sup>/<sub>2</sub>"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,4,5,60,easy,,"<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497517988-the-reflex-angle-between-the-hands-of-a-clock-at-1025-is-18467.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>The reflex angle between the hands of a clock at 10.25 is:
</div>","<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497517988-the-reflex-angle-between-the-hands-of-a-clock-at-1025-is-18467.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",197<sup>1º</sup>/<sub>2</sub>
{topic_id:1520|topic:Clock|section:-|page:1|question:3. },1001,1520,Clock,100186DI549QZM1520,radio,"<div>A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:
</div>",,0,4,"[{""option_value"": ""145º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""150º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""155º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""160º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,3,5,60,easy,,"Angle traced by hour hand in 12 hrs = 360º.<br>
Angle traced by hour hand in 5 hrs 10 min. <em>i.e.</em>,<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497526535-a-clock-is-started-at-noon-by-10-minutes-past-5-the-hour-hand-has-turned-through-18468.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:
</div>","Angle traced by hour hand in 12 hrs = 360º.<br>
Angle traced by hour hand in 5 hrs 10 min. <em>i.e.</em>,<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497526535-a-clock-is-started-at-noon-by-10-minutes-past-5-the-hour-hand-has-turned-through-18468.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",155º
{topic_id:1520|topic:Clock|section:-|page:1|question:4. },1001,1520,Clock,1001CCK627VNE41520,radio,"<div>A watch which gains 5 seconds in 3 minutes was set right at 7 a.m. In the afternoon of the same day, when the watch indicated quarter past 4 o'clock, the true time is:
</div>",,0,4,"[{""option_value"": ""59 <sup>7</sup>/<sub>12</sub> min. past 3"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""4 p.m."", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""58 <sup>7</sup>/<sub>11</sub> min. past 3"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""2<sup>3</sup>/<sub>11</sub> min. past 4"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,2,5,60,easy,,"<br> <img src=""/images/solution-image/arithmetic-ability/clock/1497526956-a-watch-which-gains-5-seconds-in-3-minutes-was-set-right-at-7-am-in-the-afternoon-of-the-same-day-when-the-watch-indicated-quarter-past-4-oclock-18469.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>A watch which gains 5 seconds in 3 minutes was set right at 7 a.m. In the afternoon of the same day, when the watch indicated quarter past 4 o'clock, the true time is:
</div>","<br> <img src=""/images/solution-image/arithmetic-ability/clock/1497526956-a-watch-which-gains-5-seconds-in-3-minutes-was-set-right-at-7-am-in-the-afternoon-of-the-same-day-when-the-watch-indicated-quarter-past-4-oclock-18469.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",4 p.m.
{topic_id:1520|topic:Clock|section:-|page:1|question:5. },1001,1520,Clock,100180SGC9QOJP1520,radio,"<div>How much does a watch lose per day, if its hands coincide every 64 minutes?</div>",,0,4,"[{""option_value"": ""32 <sup>8</sup>/<sub>11</sub> min."", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""36 <sup>5</sup>/<sub>11</sub> min."", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""90 min."", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""96 min."", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,1,5,60,easy,,"<br> <img src=""/images/solution-image/arithmetic-ability/clock/1497530078-how-much-does-a-watch-lose-per-day-if-its-hands-coincide-every-64-minutes-18470.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>How much does a watch lose per day, if its hands coincide every 64 minutes?</div>","<br> <img src=""/images/solution-image/arithmetic-ability/clock/1497530078-how-much-does-a-watch-lose-per-day-if-its-hands-coincide-every-64-minutes-18470.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",32 <sup>8</sup>/<sub>11</sub> min.
{topic_id:1520|topic:Clock|section:-|page:2|question:6. },1001,1520,Clock,1001JTPEOODREF1520,radio,"<div>At what time between 7 and 8 o'clock will the hands of a clock be in the same straight line but, not together?</div>",,0,4,"[{""option_value"": ""5 min. past 7"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""5 <sup>2</sup>/<sub>11</sub> min. past 7"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""5 <sup>3</sup>/<sub>11</sub> min. past 7"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""5 <sup>5</sup>/<sub>11</sub> min. past 7"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,4,5,60,easy,,"When the hands of the clock are in the same straight line but not together, they are 30 minute spaces apart.<br>
At 7 o'clock, they are 25 min. spaces apart.<br>
∴ Minute hand will have to gain only 5 min. spaces.<br>
55 min. spaces are gained in 60 min.<br>
5 min. spaces are gained in<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530302-at-what-time-between-7-and-8-oclock-will-the-hands-of-a-clock-be-in-the-same-straight-line-but-not-together-18471.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image""><br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530356-at-what-time-between-7-and-8-oclock-will-the-hands-of-a-clock-be-in-the-same-straight-line-but-not-together-2-18471.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>At what time between 7 and 8 o'clock will the hands of a clock be in the same straight line but, not together?</div>","When the hands of the clock are in the same straight line but not together, they are 30 minute spaces apart.<br>
At 7 o'clock, they are 25 min. spaces apart.<br>
∴ Minute hand will have to gain only 5 min. spaces.<br>
55 min. spaces are gained in 60 min.<br>
5 min. spaces are gained in<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530302-at-what-time-between-7-and-8-oclock-will-the-hands-of-a-clock-be-in-the-same-straight-line-but-not-together-18471.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image""><br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530356-at-what-time-between-7-and-8-oclock-will-the-hands-of-a-clock-be-in-the-same-straight-line-but-not-together-2-18471.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",5 <sup>5</sup>/<sub>11</sub> min. past 7
{topic_id:1520|topic:Clock|section:-|page:2|question:7. },1001,1520,Clock,1001MM7W380NGM1520,radio,"<div>At what time between 5.30 and 6 will the hands of a clock be at right angles?
</div>",,0,4,"[{""option_value"": ""43 <sup>5</sup>/<sub>11</sub> min. past 5"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""43 <sup>7</sup>/<sub>11</sub> min. past 5"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""40 min. past 5"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""45 min. past 5"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,2,5,60,easy,,"At 5 o'clock, the hands are 25 min. spaces apart.<br>
To be at right angles and that too between 5.30 and 6, the minute hand has to gain (25 + 15) = 40 min. spaces.<br>
55 min. spaces are gained in 60 min.<br>
40 min. spaces are gained in<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530555-at-what-time-between-530-and-6-will-the-hands-of-a-clock-be-at-right-angles-18472.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image""><br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530595-at-what-time-between-530-and-6-will-the-hands-of-a-clock-be-at-right-angles-2-18472.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>At what time between 5.30 and 6 will the hands of a clock be at right angles?
</div>","At 5 o'clock, the hands are 25 min. spaces apart.<br>
To be at right angles and that too between 5.30 and 6, the minute hand has to gain (25 + 15) = 40 min. spaces.<br>
55 min. spaces are gained in 60 min.<br>
40 min. spaces are gained in<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530555-at-what-time-between-530-and-6-will-the-hands-of-a-clock-be-at-right-angles-18472.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image""><br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530595-at-what-time-between-530-and-6-will-the-hands-of-a-clock-be-at-right-angles-2-18472.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",43 <sup>7</sup>/<sub>11</sub> min. past 5
{topic_id:1520|topic:Clock|section:-|page:2|question:8. },1001,1520,Clock,1001CXIK4G4BH91520,radio,"<div>The angle between the minute hand and the hour hand of a clock when the time is 4.20, is:
</div>",,0,4,"[{""option_value"": ""0º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""10º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""5º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""20º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,2,5,60,easy,,"<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530684-the-angle-between-the-minute-hand-and-the-hour-hand-of-a-clock-when-the-time-is-420-is-18473.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>The angle between the minute hand and the hour hand of a clock when the time is 4.20, is:
</div>","<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530684-the-angle-between-the-minute-hand-and-the-hour-hand-of-a-clock-when-the-time-is-420-is-18473.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",10º
{topic_id:1520|topic:Clock|section:-|page:2|question:9. },1001,1520,Clock,1001NQKD1N97JL1520,radio,"<div>At what angle the hands of a clock are inclined at 15 minutes past 5?
</div>",,0,4,"[{""option_value"": ""58 <sup>1º</sup>/<sub>2</sub>"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""64º"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""67 <sup>1º</sup>/<sub>2</sub>"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""72 <sup>1º</sup>/<sub>2</sub>"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,3,5,60,easy,,"<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530822-at-what-angle-the-hands-of-a-clock-are-inclined-at-15-minutes-past-5-18474.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>At what angle the hands of a clock are inclined at 15 minutes past 5?
</div>","<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530822-at-what-angle-the-hands-of-a-clock-are-inclined-at-15-minutes-past-5-18474.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",67 <sup>1º</sup>/<sub>2</sub>
{topic_id:1520|topic:Clock|section:-|page:2|question:10. },1001,1520,Clock,1001G0OCPGAZLB1520,radio,"<div>At 3:40, the hour hand and the minute hand of a clock form an angle of:</div>",,0,4,"[{""option_value"": ""120°"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""125°"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""130°"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"},{""option_value"": ""135°"", ""optionl2_value"": """", ""has_file"": 0, ""file_name"": """"}]",1,3,5,60,easy,,"<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530934-at-340-the-hour-hand-and-the-minute-hand-of-a-clock-form-an-angle-of-18475.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",NULL,1,,,"<div>At 3:40, the hour hand and the minute hand of a clock form an angle of:</div>","<br>
 <img src=""/images/solution-image/arithmetic-ability/clock/1497530934-at-340-the-hour-hand-and-the-minute-hand-of-a-clock-form-an-angle-of-18475.JPG"" title=""Clock mcq solution image"" alt=""Clock mcq solution image"">",130°
